瘤痢,瘤痢疙,老矫,扁柯(∑C),扁柯 QC敲贰弊,碍荐樊(mm),碍荐樊 QC敲贰弊,浅加(m/s),浅加 QC敲贰弊,浅氢(16规困),浅氢 QC敲贰弊,嚼档(%),嚼档 QC敲贰弊,刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),泅瘤扁拘 QC敲贰弊,秦搁扁拘(hPa),秦搁扁拘 QC敲贰弊,老炼(hr),老炼 QC敲贰弊,老荤(MJ/m2),老荤 QC敲贰弊,利汲(cm),3矫埃脚利汲(cm),傈款樊(10盒困),吝窍摸款樊(10盒困),款屈(款屈距绢),弥历款绊(100m ),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),泅惑锅龋(惫郴侥),瘤搁柯档(∑C),瘤搁柯档 QC敲贰弊,5cm 瘤吝柯档(∑C),10cm 瘤吝柯档(∑C),20cm 瘤吝柯档(∑C),30cm 瘤吝柯档(∑C)
146,傈林,2026-01-02 11:00,-5,,,,2.4,,360,,54,,2.3,-12.8,1020.5,,1028.4,,1,,1.48,,,,1,1,Sc,10,4171,,,-1.6,,,,,
146,傈林,2026-01-02 12:00,-4.2,,,,2.1,,360,,48,,2.2,-13.5,1019.5,,1027.3,,1,,1.82,,,,1,1,Sc,10,3688,,,-.1,,,,,
146,傈林,2026-01-02 13:00,-2.6,,,,2.5,,290,,48,,2.4,-12.1,1018.5,,1026.3,,1,,2,,,,2,2,Sc,10,3668,,,.5,,,,,
146,傈林,2026-01-02 14:00,-1.7,,,,2.3,,320,,49,,2.6,-11,1017.8,,1025.5,,1,,1.86,,,,3,3,Sc,10,3545,,,.4,,,,,
146,傈林,2026-01-02 15:00,-.8,,,,4.3,,270,,49,,2.8,-10.2,1017.7,,1025.4,,1,,1.58,,,,4,4,Sc,11,3565,,,.3,,,,,
146,傈林,2026-01-02 16:00,-1.1,,,,3.8,,290,,53,,3,-9.4,1017.7,,1025.4,,.7,,.79,,,,3,3,Sc,10,3775,,,-.3,,,,,
146,傈林,2026-01-02 17:00,-2,,,,3.1,,290,,61,,3.2,-8.5,1017.9,,1025.7,,.2,,.29,,,,9,9,CuSc,10,3516,,08,-.7,,,,,
146,傈林,2026-01-02 18:00,-2.8,,0,,3.8,,320,,78,,3.9,-6.1,1018.4,,1026.2,,0,,.02,,,,9,9,CuSc,10,1253,,08,-1.1,,,,,
146,傈林,2026-01-02 19:00,-2.7,,,9,4.4,,290,,68,,3.4,-7.7,1018.9,,1026.7,,,9,,9,,,8,8,Sc,11,3813,,08,-1.5,,,,,
146,傈林,2026-01-02 20:00,-3.1,,,9,2.9,,360,,62,,3,-9.3,1019.2,,1027,,,9,,9,,,9,9,,11,3929,,,-1.6,,,,,
146,傈林,2026-01-02 21:00,-3.4,,0,,1.4,,360,,61,,2.9,-9.8,1019.4,,1027.2,,,9,,9,,,8,8,Sc,10,4323,,,-1.7,,,,,
146,傈林,2026-01-02 22:00,-3.6,,,9,1.6,,50,,60,,2.8,-10.2,1019.5,,1027.3,,,9,,9,,,9,9,,10,4140,,,-2,,,,,
146,傈林,2026-01-02 23:00,-3.9,,,9,2,,50,,61,,2.8,-10.3,1020,,1027.8,,,9,,9,,,7,7,,10,4197,,,-2.2,,,,,
146,傈林,2026-01-03 00:00,-4.3,,,9,2.3,,20,,64,,2.8,-10.1,1020.5,,1028.3,,,9,,9,,,9,9,Sc,10,3937,,,-2.5,,,,,
146,傈林,2026-01-03 01:00,-5.4,,,,2,,50,,68,,2.8,-10.3,1020.4,,1028.3,,,9,,9,,,0,0,,,3937,,,-3.5,,,,,
146,傈林,2026-01-03 02:00,-6,,,,1.2,,50,,68,,2.7,-10.9,1020.7,,1028.6,,,9,,9,,,0,0,,,4135,,,-4,,,,,
146,傈林,2026-01-03 03:00,-6.2,,,,1,,90,,69,,2.7,-10.9,1021.1,,1029,,,9,,9,,,0,0,,,3886,,,-4.5,,,,,
146,傈林,2026-01-03 04:00,-6.1,,,,1.6,,110,,72,,2.8,-10.3,1020.9,,1028.8,,,9,,9,,,0,0,,,3743,,,-4.1,,,,,
146,傈林,2026-01-03 05:00,-5.4,,,,1.7,,90,,70,,2.9,-10,1020.7,,1028.6,,,9,,9,,,9,9,Sc,10,3839,,,-3.2,,,,,
146,傈林,2026-01-03 06:00,-5.5,,,,1.1,,140,,68,,2.8,-10.4,1020.8,,1028.7,,,9,,9,,,4,4,Sc,10,3832,,,-3.6,,,,,
146,傈林,2026-01-03 07:00,-6,,,,.9,,140,,73,,2.9,-10,1021.1,,1029,,,9,,9,,,0,0,,,3666,,,-4.3,,,,,
146,傈林,2026-01-03 08:00,-5.9,,,,1.6,,110,,76,,3,-9.4,1021.7,,1029.6,,0,,.01,,,,0,0,,,2925,,,-4.3,,,,,
146,傈林,2026-01-03 09:00,-3.5,,,,1.5,,140,,70,,3.3,-8.1,1022,,1029.8,,.7,,.31,,,,0,0,,,3297,,,-3.8,,,,,
146,傈林,2026-01-03 10:00,-.6,,,,1.9,,160,,62,,3.6,-6.9,1022.3,,1030,,1,,.93,,,,0,0,,,3218,,,-2.3,,,,,
146,傈林,2026-01-03 11:00,1.8,,,,1.7,,110,,57,,4,-5.8,1022,,1029.7,,1,,1.44,,,,0,0,,,3577,,,-.4,,,,,
146,傈林,2026-01-03 12:00,2.6,,,,2.5,,340,,53,,3.9,-6,1021,,1028.6,,1,,1.78,,,,5,5,Sc,10,3885,,,.7,,,,,
146,傈林,2026-01-03 13:00,3,,,,2.2,,360,,51,,3.9,-6.1,1020.3,,1027.9,,.7,,1.45,,,,4,4,Ac,35,3312,,,.8,,,,,
146,傈林,2026-01-03 14:00,3.2,,,,1.8,,290,,53,,4.1,-5.4,1019.8,,1027.4,,.3,,1.15,,,,8,8,Sc,11,2678,,,.7,,,,,
146,傈林,2026-01-03 15:00,2.5,,,,1.6,,270,,56,,4.1,-5.4,1019.6,,1027.2,,0,,.4,,,,9,9,Sc,15,2777,,,.5,,,,,
146,傈林,2026-01-03 16:00,2.2,,,,2.1,,270,,57,,4.1,-5.4,1019.8,,1027.4,,0,,.24,,,,9,9,Sc,15,2814,,,.4,,,,,
146,傈林,2026-01-03 17:00,1.9,,,,.5,,250,,59,,4.2,-5.2,1019.6,,1027.3,,0,,.1,,,,9,9,Sc,14,2673,,,.3,,,,,
146,傈林,2026-01-03 18:00,1.3,,,,.7,,340,,62,,4.2,-5.1,1019.7,,1027.4,,0,,.02,,,,9,9,Sc,14,2352,,,.2,,,,,
146,傈林,2026-01-03 19:00,1.2,,,,.9,,70,,63,,4.2,-5,1019.6,,1027.3,,,9,,9,,,9,9,,13,2343,,,.3,,,,,
146,傈林,2026-01-03 20:00,1.4,,,,1.5,,110,,63,,4.3,-4.8,1019.3,,1027,,,9,,9,,,9,9,,12,2056,,,.3,,,,,
146,傈林,2026-01-03 21:00,1.4,,,,1.3,,110,,68,,4.6,-3.8,1019.4,,1027.1,,,9,,9,,,9,9,Sc,11,2027,,,.2,,,,,
146,傈林,2026-01-03 22:00,1.3,,,,1.1,,180,,69,,4.6,-3.7,1019.4,,1027.1,,,9,,9,,,9,9,,12,1965,,,.2,,,,,
146,傈林,2026-01-03 23:00,1.4,,,,1.2,,110,,70,,4.8,-3.4,1019.5,,1027.2,,,9,,9,,,9,9,,11,1800,,,.2,,,,,
146,傈林,2026-01-04 00:00,1.3,,,,1.1,,110,,71,,4.8,-3.3,1019.3,,1027,,,9,,9,,,9,9,,,1801,,,.2,,,,,
146,傈林,2026-01-04 01:00,1.3,,,,1.5,,140,,71,,4.8,-3.3,1019.1,,1026.8,,,9,,9,,,9,9,,13,1814,,,.1,,,,,
146,傈林,2026-01-04 02:00,1.2,,,,.6,,160,,71,,4.8,-3.4,1019,,1026.7,,,9,,9,,,9,9,,12,1819,,,.1,,,,,
146,傈林,2026-01-04 03:00,1.3,,,,1.4,,110,,72,,4.8,-3.2,1019,,1026.7,,,9,,9,,,9,9,Sc,12,1769,,,.1,,,,,
146,傈林,2026-01-04 04:00,1.2,,,,1.6,,90,,74,,4.9,-2.9,1018.4,,1026.1,,,9,,9,,,9,9,Sc,12,1659,,,.1,,,,,
146,傈林,2026-01-04 05:00,1.3,,,,.4,,0,,74,,5,-2.8,1018.1,,1025.8,,,9,,9,,,9,9,Sc,12,1587,,,0,,,,,
146,傈林,2026-01-04 06:00,1.3,,,,1.4,,110,,74,,5,-2.8,1018.2,,1025.9,,,9,,9,,,9,9,Sc,12,1577,,,0,,,,,
146,傈林,2026-01-04 07:00,1.3,,,,1.4,,110,,75,,5,-2.6,1018.6,,1026.3,,,9,,9,,,9,9,Sc,11,1530,,,0,,,,,
146,傈林,2026-01-04 08:00,1.8,,,,1.5,,200,,74,,5.2,-2.3,1018.5,,1026.2,,0,,0,,,,9,9,Sc,11,1458,,,.1,,,,,
146,傈林,2026-01-04 09:00,2.4,,,,1.5,,180,,72,,5.2,-2.1,1018.9,,1026.5,,0,,.08,,,,9,9,Sc,11,1355,,,.2,,,,,
146,傈林,2026-01-04 10:00,3.8,,,,.9,,160,,67,,5.4,-1.7,1019.1,,1026.7,,0,,.33,,,,9,9,Sc,12,1271,,,.5,,,,,
146,傈林,2026-01-04 11:00,5.1,,,,3.6,,250,,62,,5.5,-1.5,1019.1,,1026.7,,0,,.53,,,,9,9,Sc,12,1190,,,1.1,,,,,
146,傈林,2026-01-04 12:00,5.7,,,,2.4,,250,,62,,5.7,-1,1018.5,,1026,,0,,.6,,,,10,9,ScAs,10,1085,,,1.5,,,,,
146,傈林,2026-01-04 13:00,5.6,,,,3,,270,,66,,6,-.2,1017.8,,1025.3,,0,,.72,,,,10,9,ScAs,11,948,,40,1.7,,,,,
146,傈林,2026-01-04 14:00,5.5,,,,2.8,,270,,67,,6.1,-.1,1017.1,,1024.6,,0,,.63,,,,10,8,ScAs,10,790,,40,1.9,,,,,
146,傈林,2026-01-04 15:00,5.5,,,,3,,250,,69,,6.2,.2,1016.7,,1024.2,,0,,.6,,,,8,8,Sc,12,769,,40,2.6,,,,,
146,傈林,2026-01-04 16:00,5.2,,,,2,,250,,70,,6.2,.1,1016.1,,1023.6,,0,,.39,,,,10,5,ScAs,12,889,,40,1.6,,,,,
146,傈林,2026-01-04 17:00,4.6,,,,2.6,,270,,70,,5.9,-.4,1015.7,,1023.2,,0,,.24,,,,7,0,Ci,,930,,40,.6,,,,,
146,傈林,2026-01-04 18:00,3.8,,,,1.8,,250,,75,,6,-.2,1015.8,,1023.4,,0,,.03,,,,4,0,Ci,,833,,40,-.2,,,,,
146,傈林,2026-01-04 19:00,3.5,,,,3,,270,,75,,5.9,-.5,1016.2,,1023.8,,,9,,9,,,7,6,,46,864,,40,.3,,,,,
146,傈林,2026-01-04 20:00,3,,,,.7,,270,,75,,5.7,-1,1015.7,,1023.3,,,9,,9,,,8,5,,46,978,,40,.2,,,,,
146,傈林,2026-01-04 21:00,2.3,,,,1.3,,290,,76,,5.5,-1.5,1016,,1023.6,,,9,,9,,,7,0,Ci,,1093,,,.2,,,,,
146,傈林,2026-01-04 22:00,1.7,,,,.1,,0,,78,,5.4,-1.7,1015.8,,1023.4,,,9,,9,,,8,6,,43,988,,19,.1,,,,,
146,傈林,2026-01-04 23:00,1.4,,,,.9,,230,,79,,5.4,-1.8,1015.7,,1023.3,,,9,,9,,,6,6,,40,1010,,19,.1,,,,,
146,傈林,2026-01-05 00:00,.7,,,,.9,,140,,82,,5.3,-2,1015.8,,1023.5,,,9,,9,,,7,0,,,796,,19,0,,,,,
146,傈林,2026-01-05 01:00,.3,,,,1.7,,110,,83,,5.2,-2.2,1015.5,,1023.2,,,9,,9,,,7,6,,39,708,,19,-.1,,,,,
146,傈林,2026-01-05 02:00,.2,,,,.7,,110,,83,,5.2,-2.3,1015.6,,1023.3,,,9,,9,,,9,9,,50,747,,19,0,,,,,
146,傈林,2026-01-05 03:00,-.1,,,,1.5,,110,,84,,5.1,-2.4,1015.4,,1023.1,,,9,,9,,,9,9,Ac,44,673,,19,0,,,,,
146,傈林,2026-01-05 04:00,-.2,,,,.9,,160,,84,,5.1,-2.5,1014.7,,1022.4,,,9,,9,,,0,0,,,721,,19,-.2,,,,,
146,傈林,2026-01-05 05:00,-1.5,,,,2.2,,340,,89,,4.9,-3,1014.7,,1022.4,,,9,,9,,,3,0,Cs,,421,,19,-.5,,,,,
146,傈林,2026-01-05 06:00,-1.4,,,,1.4,,110,,89,,4.9,-2.9,1014.8,,1022.5,,,9,,9,,,0,0,,,566,,19,-.6,,,,,
146,傈林,2026-01-05 07:00,-1.6,,,,.6,,180,,88,,4.8,-3.3,1015.3,,1023,,,9,,9,,,6,6,Sc,10,623,,19,-.3,,,,,
146,傈林,2026-01-05 08:00,-1,,,,1.5,,160,,87,,5,-2.8,1015.4,,1023.1,,0,,0,,,,8,8,Sc,9,637,,19,-.2,,,,,
146,傈林,2026-01-05 09:00,.9,,,,.6,,160,,82,,5.4,-1.8,1015.8,,1023.5,,.6,,.25,,,,3,1,ScAcCi,10,825,,19,-.3,,,,,
146,傈林,2026-01-05 10:00,2.2,,,,1.8,,320,,68,,4.9,-3.1,1016.2,,1023.8,,.7,,.78,,,,7,7,Sc,10,1718,,19,.3,,,,,
146,傈林,2026-01-05 11:00,2.8,,,,2.8,,360,,64,,4.8,-3.3,1016.1,,1023.7,,1,,1.39,,,,3,0,Ci,,2310,,,.4,,,,,
146,傈林,2026-01-05 12:00,3.6,,,,3.1,,290,,52,,4.1,-5.3,1015.4,,1023,,1,,1.61,,,,7,0,Ci,,2348,,,.7,,,,,
146,傈林,2026-01-05 13:00,4.1,,,,3.5,,340,,53,,4.3,-4.6,1014.6,,1022.2,,.9,,1.46,,,,7,1,ScCi,10,2285,,,2.1,,,,,
146,傈林,2026-01-05 14:00,4.3,,,,2.2,,290,,51,,4.2,-4.9,1014,,1021.5,,.7,,1.2,,,,5,4,ScCi,10,2343,,,2.8,,,,,
146,傈林,2026-01-05 15:00,5.4,,,,3,,290,,45,,4,-5.6,1014,,1021.5,,.8,,1.4,,,,2,2,Sc,10,2268,,,5.3,,,,,
146,傈林,2026-01-05 16:00,4.8,,,,5,,270,,40,,3.5,-7.6,1014.3,,1021.8,,1,,1.04,,,,1,1,Sc,10,3696,,,4,,,,,
146,傈林,2026-01-05 17:00,3.3,,,,3.1,,320,,33,,2.6,-11.4,1014.9,,1022.5,,1,,.49,,,,0,0,,,4402,,,.8,,,,,
146,傈林,2026-01-05 18:00,1.2,,,,4,,320,,37,,2.5,-11.9,1016.1,,1023.7,,.4,,.05,,,,0,0,,,4789,,,.2,,,,,
146,傈林,2026-01-05 19:00,-.1,,,,3,,320,,41,,2.5,-11.8,1017,,1024.7,,,9,,9,,,0,0,,,4579,,,-.1,,,,,
146,傈林,2026-01-05 20:00,-1.8,,,,2.3,,360,,46,,2.5,-11.9,1017.8,,1025.5,,,9,,9,,,0,0,,,3230,,,-.6,,,,,
146,傈林,2026-01-05 21:00,-2.3,,,,2.3,,320,,48,,2.5,-11.8,1018.2,,1026,,,9,,9,,,0,0,,,4081,,,-1.1,,,,,
146,傈林,2026-01-05 22:00,-3,,,,.8,,320,,51,,2.5,-11.7,1018.4,,1026.2,,,9,,9,,,0,0,,,3114,,,-1.4,,,,,
146,傈林,2026-01-05 23:00,-3.5,,,,0,,0,,52,,2.5,-11.9,1018.6,,1026.4,,,9,,9,,,0,0,,,3792,,,-1.7,,,,,
146,傈林,2026-01-06 00:00,-2.9,,,,1.4,,110,,56,,2.8,-10.4,1018.5,,1026.3,,,9,,9,,,0,0,,,3639,,,-2.1,,,,,
146,傈林,2026-01-06 01:00,-3.8,,,,1.1,,110,,59,,2.7,-10.6,1018.5,,1026.3,,,9,,9,,,0,0,,,3816,,,-2.4,,,,,
146,傈林,2026-01-06 02:00,-4.2,,,,1.6,,110,,62,,2.8,-10.4,1018.6,,1026.4,,,9,,9,,,0,0,,,3512,,,-2.8,,,,,
146,傈林,2026-01-06 03:00,-4.6,,,,1.4,,110,,65,,2.8,-10.1,1018.9,,1026.7,,,9,,9,,,0,0,,,3406,,,-3,,,,,
146,傈林,2026-01-06 04:00,-5.3,,,,.7,,90,,68,,2.8,-10.2,1019,,1026.9,,,9,,9,,,0,0,,,3351,,,-3.3,,,,,
146,傈林,2026-01-06 05:00,-5.4,,,,1.3,,110,,71,,2.9,-9.8,1018.9,,1026.8,,,9,,9,,,0,0,,,2977,,,-3.6,,,,,
146,傈林,2026-01-06 06:00,-5.8,,,,.8,,140,,72,,2.9,-10,1018.7,,1026.6,,,9,,9,,,0,0,,,3228,,,-4,,,,,
146,傈林,2026-01-06 07:00,-6.3,,,,1.1,,180,,76,,2.9,-9.8,1019.1,,1027,,,9,,9,,,0,0,,,2646,,,-4.3,,,,,
146,傈林,2026-01-06 08:00,-6.7,,,,2.3,,110,,76,,2.8,-10.2,1019,,1026.9,,0,,0,,,,0,0,,,2858,,,-4.5,,,,,
146,傈林,2026-01-06 09:00,-3.4,,,,1.4,,110,,66,,3.1,-8.8,1018.7,,1026.5,,1,,.35,,,,0,0,,,2500,,,-3.4,,,,,
146,傈林,2026-01-06 10:00,-.2,,,,1.3,,110,,51,,3.1,-9.1,1018.5,,1026.2,,1,,.99,,,,0,0,,,2856,,,-1.5,,,,,
146,傈林,2026-01-06 11:00,1.9,,,,.7,,230,,41,,2.9,-9.9,1018.2,,1025.8,,1,,1.51,,,,1,0,Ci,,3244,,,.6,,,,,
146,傈林,2026-01-06 12:00,2.2,,,,1.7,,340,,37,,2.6,-11,1017.3,,1024.9,,1,,1.81,,,,3,0,Ci,,4175,,,.6,,,,,
146,傈林,2026-01-06 13:00,3.7,,,,1.6,,340,,32,,2.5,-11.5,1016.2,,1023.8,,1,,2.06,,,,1,0,Ci,,4155,,,.6,,,,,
146,傈林,2026-01-06 14:00,4.1,,,,2,,360,,35,,2.9,-10,1015.6,,1023.2,,1,,1.86,,,,4,0,Ci,,3939,,,.9,,,,,
146,傈林,2026-01-06 15:00,4.5,,,,2.1,,290,,36,,3,-9.3,1015.2,,1022.7,,1,,1.36,,,,4,0,Ci,,3798,,,1.3,,,,,
146,傈林,2026-01-06 16:00,4.2,,,,2.4,,340,,31,,2.6,-11.4,1015.3,,1022.9,,1,,.95,,,,6,0,Ci,,4181,,,1.1,,,,,
146,傈林,2026-01-06 17:00,2.6,,,,1.8,,270,,36,,2.6,-11,1015.2,,1022.8,,.1,,.27,,,,6,0,Ci,,4443,,,.2,,,,,
146,傈林,2026-01-06 18:00,2,,,,1.2,,230,,41,,2.9,-9.9,1014.9,,1022.5,,0,,.03,,,,9,0,Ci,,4134,,,.2,,,,,
146,傈林,2026-01-06 19:00,1.8,,,,1.1,,230,,42,,2.9,-9.7,1015,,1022.6,,,9,,9,,,8,7,,45,3620,,,.2,,,,,
146,傈林,2026-01-06 20:00,.8,,,,1.3,,140,,46,,3,-9.5,1015,,1022.7,,,9,,9,,,9,7,,44,3157,,,.2,,,,,
146,傈林,2026-01-06 21:00,.3,,,,1.9,,140,,49,,3.1,-9.1,1014.9,,1022.6,,,9,,9,,,8,0,Ci,,3409,,,.1,,,,,
146,傈林,2026-01-06 22:00,0,,,,1.8,,140,,50,,3,-9.2,1015.1,,1022.8,,,9,,9,,,8,6,,48,3603,,,-.1,,,,,
146,傈林,2026-01-06 23:00,-.4,,,,2.1,,140,,51,,3,-9.3,1015.1,,1022.8,,,9,,9,,,6,1,,13,3686,,,-.3,,,,,
146,傈林,2026-01-07 00:00,-.9,,,,1.7,,140,,57,,3.3,-8.3,1014.6,,1022.3,,,9,,9,,,5,5,,,3667,,,-.5,,,,,
146,傈林,2026-01-07 01:00,-.1,,,9,1.6,,140,,60,,3.6,-6.9,1014.1,,1021.8,,,9,,9,,,9,3,,9,3688,,,-.1,,,,,
146,傈林,2026-01-07 02:00,.3,,,,1.6,,160,,60,,3.8,-6.5,1013.7,,1021.4,,,9,,9,,,7,7,,7,3648,,,-.1,,,,,
146,傈林,2026-01-07 03:00,.3,,0,,1.9,,140,,62,,3.9,-6.1,1013.2,,1020.9,,,9,,9,,,6,6,Sc,13,4166,,01,-.3,,,,,
146,傈林,2026-01-07 04:00,.7,,,9,1.6,,140,,62,,4,-5.7,1012.6,,1020.2,,,9,,9,,,7,7,Sc,10,3982,,01,-.1,,,,,
146,傈林,2026-01-07 05:00,1,,,9,1.5,,110,,63,,4.2,-5.2,1012.3,,1019.9,,,9,,9,,,8,8,Sc,9,3749,,01,0,,,,,
146,傈林,2026-01-07 06:00,.8,,0,,1.6,,140,,69,,4.5,-4.2,1012.3,,1019.9,,,9,,9,,,7,7,Sc,9,3450,,01,-.1,,,,,
146,傈林,2026-01-07 07:00,.7,,,9,1.5,,110,,70,,4.5,-4.1,1012.8,,1020.4,,,9,,9,,,8,8,Sc,11,3036,,,-.2,,,,,
146,傈林,2026-01-07 08:00,.8,,,9,1.3,,160,,75,,4.9,-3.1,1013,,1020.6,,0,,0,,,,8,8,Sc,8,2534,,,-.3,,,,,
